Date,Open,High,Low,Close,Adj Close,Volume
22-01-08,3.032857,3.247143,2.907143,3.175714,3.175714,14127400
23-01-08,3.150000,3.400000,3.000000,3.394286,3.394286,29370600
24-01-08,3.377143,3.392857,3.067143,3.134286,3.134286,38927000
25-01-08,3.182857,3.244286,3.017143,3.110000,3.110000,19865300
28-01-08,3.162857,3.285714,3.080000,3.284286,3.284286,11650100
29-01-08,3.295714,3.322857,3.240000,3.308571,3.308571,7082600
30-01-08,3.338571,3.358572,3.221429,3.277143,3.277143,9307200
31-01-08,3.221429,3.621428,3.158571,3.592857,3.592857,23223900
01-02-08,3.544286,3.657143,3.510000,3.627143,3.627143,12623100
04-02-08,3.627143,3.737143,3.612857,3.698571,3.698571,11883900
05-02-08,3.640000,3.678571,3.544286,3.608572,3.608572,8945300
06-02-08,3.685714,3.842857,3.627143,3.717143,3.717143,15107400
07-02-08,3.658571,3.840000,3.658571,3.835714,3.835714,16767100
08-02-08,3.778571,3.857143,3.718571,3.840000,3.840000,10850700
11-02-08,3.851429,3.864286,3.820000,3.841429,3.841429,9594900
12-02-08,3.855714,3.895714,3.787143,3.842857,3.842857,7427700
13-02-08,3.867143,3.907143,3.810000,3.901428,3.901428,7099400
14-02-08,3.845714,3.880000,3.761429,3.821429,3.821429,6273400
15-02-08,3.792857,3.824286,3.722857,3.800000,3.800000,6734700
19-02-08,3.761429,3.942857,3.682857,3.827143,3.827143,9839200
20-02-08,3.781429,3.972857,3.751429,3.924286,3.924286,12815600
21-02-08,3.928571,3.998571,3.904286,3.981429,3.981429,7112000
22-02-08,3.957143,3.998571,3.910000,3.971429,3.971429,5740000
25-02-08,3.958571,4.028572,3.957143,4.000000,4.000000,6801900
26-02-08,3.972857,4.214286,3.972857,4.142857,4.142857,16592100
27-02-08,4.370000,4.648571,4.285714,4.632857,4.632857,41283200
28-02-08,4.517143,4.901429,4.500000,4.505714,4.505714,35182700
29-02-08,4.547143,4.571429,4.302857,4.511428,4.511428,16774800
03-03-08,4.535714,4.568572,4.377143,4.420000,4.420000,12994800
04-03-08,4.365714,4.510000,4.331429,4.502857,4.502857,8935500
05-03-08,4.525714,4.658571,4.484286,4.585714,4.585714,12135900
06-03-08,4.522857,4.547143,4.374286,4.374286,4.374286,9050300
07-03-08,4.360000,4.534286,4.307143,4.465714,4.465714,10600800
10-03-08,4.571429,4.775714,4.500000,4.744286,4.744286,14315000
11-03-08,4.785714,4.885714,4.607143,4.725714,4.725714,17990000
12-03-08,4.735714,4.928571,4.735714,4.862857,4.862857,15894200
13-03-08,4.794286,4.904286,4.650000,4.887143,4.887143,10045000
14-03-08,4.907143,4.928571,4.694286,4.751429,4.751429,7955500
17-03-08,4.687143,4.814286,4.618571,4.712857,4.712857,9300900
18-03-08,4.822857,5.000000,4.782857,5.000000,5.000000,12412400
19-03-08,4.998571,5.147143,4.945714,4.981429,4.981429,13099800
20-03-08,5.428571,5.428571,5.108572,5.177143,5.177143,23524200
24-03-08,5.334286,5.664286,5.262857,5.452857,5.452857,16856000
25-03-08,5.491428,5.521429,5.265714,5.302857,5.302857,12001500
26-03-08,5.285714,5.415714,5.185714,5.408571,5.408571,10948700
27-03-08,5.317143,5.344285,5.020000,5.194286,5.194286,12809300
28-03-08,5.191429,5.338572,5.041429,5.084286,5.084286,9209900
31-03-08,5.167143,5.192857,4.840000,4.950000,4.950000,14527800
01-04-08,5.071429,5.271429,4.914286,5.215714,5.215714,16173500
02-04-08,5.164286,5.285714,5.105714,5.192857,5.192857,9599100
03-04-08,5.114286,5.448571,5.107143,5.332857,5.332857,8990100
04-04-08,5.357143,5.357143,5.131429,5.172857,5.172857,6877500
07-04-08,5.231429,5.231429,5.034286,5.128572,5.128572,5357800
08-04-08,5.215714,5.294286,5.058571,5.271429,5.271429,6457500
09-04-08,5.298572,5.298572,5.147143,5.202857,5.202857,7982800
10-04-08,5.151429,5.290000,5.118571,5.224286,5.224286,5525800
11-04-08,5.178571,5.220000,5.015714,5.072857,5.072857,7887600
14-04-08,5.142857,5.198571,5.064286,5.111429,5.111429,6811000
15-04-08,5.142857,5.211429,5.080000,5.211429,5.211429,5721100
16-04-08,5.261428,5.587143,5.217143,5.567143,5.567143,15433600
17-04-08,5.557143,5.840000,5.485714,5.814286,5.814286,23908500
18-04-08,5.818572,5.842857,5.472857,5.508572,5.508572,14841400
21-04-08,5.508572,5.804286,5.508572,5.617143,5.617143,22172500
22-04-08,4.815714,4.821429,4.207143,4.285714,4.285714,73231900
23-04-08,4.302857,4.500000,4.242857,4.465714,4.465714,20147400
24-04-08,4.437143,4.750000,4.430000,4.717143,4.717143,13801200
25-04-08,4.738572,4.857143,4.714286,4.851429,4.851429,10159100
28-04-08,4.740000,4.792857,4.657143,4.722857,4.722857,10395700
29-04-08,4.664286,4.705714,4.550000,4.597143,4.597143,7233100
30-04-08,4.574286,4.631429,4.455714,4.568572,4.568572,10906000
01-05-08,4.524286,4.568572,4.334286,4.428571,4.428571,17323600
02-05-08,4.437143,4.492857,4.374286,4.442857,4.442857,7703500
05-05-08,4.464286,4.525714,4.371428,4.428571,4.428571,8323000
06-05-08,4.414286,4.431428,4.351429,4.420000,4.420000,4996600
07-05-08,4.385714,4.455714,4.285714,4.308571,4.308571,6707400
08-05-08,4.330000,4.398571,4.247143,4.307143,4.307143,9996700
09-05-08,4.287143,4.391428,4.285714,4.388571,4.388571,4894400
12-05-08,4.385714,4.530000,4.357143,4.387143,4.387143,10579100
13-05-08,4.375714,4.402857,4.300000,4.380000,4.380000,6391000
14-05-08,4.380000,4.442857,4.321429,4.342857,4.342857,7686000
15-05-08,4.318572,4.352857,4.222857,4.275714,4.275714,15273300
16-05-08,4.312857,4.560000,4.287143,4.522857,4.522857,14801500
19-05-08,4.505714,4.635714,4.380000,4.425714,4.425714,8920100
20-05-08,4.695714,4.907143,4.471428,4.518571,4.518571,31366300
21-05-08,4.597143,4.642857,4.505714,4.527143,4.527143,13125700
22-05-08,4.508572,4.544286,4.407143,4.530000,4.530000,9313500
23-05-08,4.507143,4.521429,4.302857,4.458571,4.458571,9688700
